Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_betha_structure,no_transform,train,4724904259747840.0
1,fft_betha_structure,no_transform,test,8330872902123520.0
2,fft_betha_structure,no_transform,train,4724904259747840.0
2,fft_betha_structure,no_transform,test,8330872365252608.0
3,fft_betha_structure,no_transform,train,4724904259747840.0
3,fft_betha_structure,no_transform,test,8330872365252608.0
4,fft_betha_structure,no_transform,train,4724904259747840.0
4,fft_betha_structure,no_transform,test,8330872365252608.0
5,fft_betha_structure,no_transform,train,4724903722876928.0
5,fft_betha_structure,no_transform,test,8330871828381696.0
6,fft_betha_structure,no_transform,train,4724903722876928.0
6,fft_betha_structure,no_transform,test,8330870754639872.0
7,fft_betha_structure,no_transform,train,4724903722876928.0
7,fft_betha_structure,no_transform,test,8330870754639872.0
8,fft_betha_structure,no_transform,train,4724903722876928.0
8,fft_betha_structure,no_transform,test,8330870754639872.0
9,fft_betha_structure,no_transform,train,4724903186006016.0
9,fft_betha_structure,no_transform,test,8330870754639872.0
10,fft_betha_structure,no_transform,train,4724903186006016.0
10,fft_betha_structure,no_transform,test,8330870217768960.0
11,fft_betha_structure,no_transform,train,4724903186006016.0
11,fft_betha_structure,no_transform,test,8330869680898048.0
12,fft_betha_structure,no_transform,train,4724903186006016.0
12,fft_betha_structure,no_transform,test,8330869680898048.0
13,fft_betha_structure,no_transform,train,4724903186006016.0
13,fft_betha_structure,no_transform,test,8330869680898048.0
14,fft_betha_structure,no_transform,train,4724902649135104.0
14,fft_betha_structure,no_transform,test,8330869680898048.0
15,fft_betha_structure,no_transform,train,4724902649135104.0
15,fft_betha_structure,no_transform,test,8330869680898048.0
16,fft_betha_structure,no_transform,train,4724902649135104.0
16,fft_betha_structure,no_transform,test,8330869680898048.0
17,fft_betha_structure,no_transform,train,4724902112264192.0
17,fft_betha_structure,no_transform,test,8330869680898048.0
18,fft_betha_structure,no_transform,train,4724902112264192.0
18,fft_betha_structure,no_transform,test,8330868607156224.0
19,fft_betha_structure,no_transform,train,4724902112264192.0
19,fft_betha_structure,no_transform,test,8330868607156224.0
20,fft_betha_structure,no_transform,train,4724901575393280.0
20,fft_betha_structure,no_transform,test,8330867533414400.0
21,fft_betha_structure,no_transform,train,4724901575393280.0
21,fft_betha_structure,no_transform,test,8330867533414400.0
22,fft_betha_structure,no_transform,train,4724901575393280.0
22,fft_betha_structure,no_transform,test,8330867533414400.0
23,fft_betha_structure,no_transform,train,4724901575393280.0
23,fft_betha_structure,no_transform,test,8330867533414400.0
24,fft_betha_structure,no_transform,train,4724900501651456.0
24,fft_betha_structure,no_transform,test,8330866996543488.0
25,fft_betha_structure,no_transform,train,4724900501651456.0
25,fft_betha_structure,no_transform,test,8330866459672576.0
26,fft_betha_structure,no_transform,train,4724899964780544.0
26,fft_betha_structure,no_transform,test,8330864849059840.0
27,fft_betha_structure,no_transform,train,4724899427909632.0
27,fft_betha_structure,no_transform,test,8330864849059840.0
28,fft_betha_structure,no_transform,train,4724899427909632.0
28,fft_betha_structure,no_transform,test,8330864312188928.0
29,fft_betha_structure,no_transform,train,4724898891038720.0
29,fft_betha_structure,no_transform,test,8330863775318016.0
30,fft_betha_structure,no_transform,train,4724898891038720.0
30,fft_betha_structure,no_transform,test,8330862701576192.0
31,fft_betha_structure,no_transform,train,4724897817296896.0
31,fft_betha_structure,no_transform,test,8330862701576192.0
32,fft_betha_structure,no_transform,train,4724897817296896.0
32,fft_betha_structure,no_transform,test,8330861627834368.0
33,fft_betha_structure,no_transform,train,4724896206684160.0
33,fft_betha_structure,no_transform,test,8330861090963456.0
34,fft_betha_structure,no_transform,train,4724896206684160.0
34,fft_betha_structure,no_transform,test,8330860554092544.0
35,fft_betha_structure,no_transform,train,4724895669813248.0
35,fft_betha_structure,no_transform,test,8330858943479808.0
36,fft_betha_structure,no_transform,train,4724895132942336.0
36,fft_betha_structure,no_transform,test,8330858943479808.0
37,fft_betha_structure,no_transform,train,4724894059200512.0
37,fft_betha_structure,no_transform,test,8330857869737984.0
38,fft_betha_structure,no_transform,train,4724892985458688.0
38,fft_betha_structure,no_transform,test,8330856795996160.0
39,fft_betha_structure,no_transform,train,4724892448587776.0
39,fft_betha_structure,no_transform,test,8330855185383424.0
40,fft_betha_structure,no_transform,train,4724891911716864.0
40,fft_betha_structure,no_transform,test,8330854111641600.0
41,fft_betha_structure,no_transform,train,4724890301104128.0
41,fft_betha_structure,no_transform,test,8330853037899776.0
42,fft_betha_structure,no_transform,train,4724889764233216.0
42,fft_betha_structure,no_transform,test,8330851964157952.0
43,fft_betha_structure,no_transform,train,4724888690491392.0
43,fft_betha_structure,no_transform,test,8330850890416128.0
44,fft_betha_structure,no_transform,train,4724887616749568.0
44,fft_betha_structure,no_transform,test,8330849279803392.0
45,fft_betha_structure,no_transform,train,4724886543007744.0
45,fft_betha_structure,no_transform,test,8330847669190656.0
46,fft_betha_structure,no_transform,train,4724885469265920.0
46,fft_betha_structure,no_transform,test,8330846595448832.0
47,fft_betha_structure,no_transform,train,4724883858653184.0
47,fft_betha_structure,no_transform,test,8330844984836096.0
48,fft_betha_structure,no_transform,train,4724882248040448.0
48,fft_betha_structure,no_transform,test,8330841763610624.0
